,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"581RubinhoGenoa, 39, GK","Rubinho Genoa, 39, GK",2,180,-,-,-,-,1,-,-,-,5.6,-,-,-,-,-,-,-,-,19.5,56.4,-,5.0,-
1,"582Carlos CarmonaAtalanta, 35, DMC","Carlos Carmona Atalanta, 35, DMC",2,101,1.5,1.5,2,-,-,1.5,-,-,5.56,-,-,-,0.5,0.5,-,-,0.5,23.0,82.6,-,1.5,-
0,"571Andrés CubasPescara, 26, DMC","Andrés Cubas Pescara, 26, DMC",0(1),8,-,-,1,-,-,1,-,-,5.95,-,-,-,-,-,-,-,-,3.0,66.7,-,-,-
1,"572Rafael CabralNapoli, 32, GK","Rafael Cabral Napoli, 32, GK",1,90,-,-,-,-,-,-,-,-,5.95,-,-,-,-,-,-,-,-,12.0,83.3,-,3,-
2,"573Alberto GilardinoPescara, 39, FW","Alberto Gilardino Pescara, 39, FW",1(2),101,-,0.3,0.7,-,-,-,-,-,5.93,-,-,1,-,0.3,0.3,0.7,0.7,7.3,81.8,-,-,-
3,"574Marco SportielloFiorentina, 30, GK","Marco Sportiello Fiorentina, 30, GK",2,180,-,-,-,-,-,-,-,-,5.9,-,-,-,-,-,-,-,-,25.0,78.0,-,5.5,-
4,"575Nicolò FazziCrotone, 27, Midfielder","Nicolò Fazzi Crotone, 27, Midfielder",0(1),6,-,-,1,-,-,-,-,-,5.88,-,-,-,-,-,-,-,-,2.0,100.0,-,-,-
5,"576Francesco LodiUdinese, 38, M(C)","Francesco Lodi Udinese, 38, M(C)",0(1),11,-,-,-,-,-,1,-,-,5.85,-,-,-,-,-,-,-,-,4.0,75.0,1,-,-
6,"577Joshua PérezFiorentina, 24, Forward","Joshua Pérez Fiorentina, 24, Forward",0(1),16,-,-,-,-,-,-,-,-,5.82,-,-,-,-,-,-,2,1,5.0,100.0,-,-,-
7,"578Jan MlakarFiorentina, 23, Forward","Jan Mlakar Fiorentina, 23, Forward",0(1),20,-,-,-,-,-,-,-,-,5.8,-,-,1,1,-,-,-,-,3.0,100.0,-,-,-
8,"579Marko PajacCagliari, 29, M(L)","Marko Pajac Cagliari, 29, M(L)",0(1),8,-,-,-,-,-,-,-,-,5.74,-,-,-,-,-,-,3,1,1.0,100.0,-,-,-
9,"580Ivan VargicLazio, 35, GK","Ivan Vargic Lazio, 35, GK",1,90,-,-,-,-,1,-,-,-,5.66,-,-,-,-,-,-,-,-,25.0,96.0,-,3,-
0,"561Alberto GilardinoEmpoli, 39, FW","Alberto Gilardino Empoli, 39, FW",5(9),593,-,0.1,1.2,-,0.6,0.1,-,-,6.0,-,-,0.4,0.4,0.9,0.9,1.2,1.3,8.9,69.6,-,0.1,-
1,"562Giuseppe BorelloCrotone, 23, Forward","Giuseppe Borello Crotone, 23, Forward",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
2,"563Jonathan BiabianyInter, 34, M(LR),FW","Jonathan Biabiany Inter, 34, M(LR),FW",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,1,-,-,-,-,-,-,-,-,-,-
3,"564Roberto ColomboCagliari, 46, Goalkeeper","Roberto Colombo Cagliari, 46, Goalkeeper",2(1),3,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,0.7,50,-,0.3,-
4,"565Victor IbarboCagliari, 32, AM(LR),FW","Victor Ibarbo Cagliari, 32, AM(LR),FW",0(3),36,-,0.3,-,-,-,0.3,-,-,6.0,-,-,0.3,-,1,-,-,-,1.7,100,-,-,-
5,"566Emil AuderoJuventus, 25, GK","Emil Audero Juventus, 25, GK",1,90,-,-,-,-,-,-,-,-,5.99,-,-,-,-,-,-,-,-,25,80,-,2,-
6,"567Gabriel VasconcellosCagliari, 29, GK","Gabriel Vasconcellos Cagliari, 29, GK",3,270,-,-,0.3,-,2.7,-,-,-,5.98,-,-,-,-,-,-,-,-,29,32.2,-,6,-
7,"568Kevin DiksFiorentina, 25, D(R)","Kevin Diks Fiorentina, 25, D(R)",0(2),5,-,-,-,-,-,0.5,-,-,5.98,-,-,-,0.5,-,-,-,-,6.5,92.3,-,-,-
8,"569Vittorio PariginiChievo, 26, AM(CL)","Vittorio Parigini Chievo, 26, AM(CL)",0(3),23,0.3,-,0.7,-,0.3,0.3,-,-,5.97,-,-,-,-,0.3,0.3,0.3,0.3,1.7,80,-,0.3,-
9,"570Franjo PrceLazio, 26, Defender","Franjo Prce Lazio, 26, Defender",0(1),1,-,-,-,-,-,-,1,-,5.96,-,-,-,-,-,-,-,-,3,33.3,-,-,-
0,"551Arnel JakupovicEmpoli, 24, Forward","Arnel Jakupovic Empoli, 24, Forward",0(1),2,-,-,-,-,-,-,-,-,6.05,-,-,-,-,-,-,1,-,4.0,75.0,-,-,-
1,"552Diego FalcinelliSassuolo, 30, FW","Diego Falcinelli Sassuolo, 30, FW",0(1),16,-,-,1,-,1,-,-,-,6.04,-,-,-,-,1,-,-,-,2.0,100.0,-,-,-
2,"553Pietro De GiorgioCrotone, 39, Forward","Pietro De Giorgio Crotone, 39, Forward",0(1),9,1,-,-,-,-,-,-,-,6.04,-,-,-,1,-,-,1,-,6.0,66.7,-,-,-
3,"554Leonardo MorosiniGenoa, 26, Midfielder","Leonardo Morosini Genoa, 26, Midfielder",1(3),91,-,-,0.3,-,-,-,-,-,6.03,-,-,0.5,0.3,0.5,0.3,0.3,1.3,7.3,72.4,0.3,-,-
4,"555Nunzio Di RobertoCrotone, 36, Forward","Nunzio Di Roberto Crotone, 36, Forward",0(1),6,-,-,-,-,-,-,-,-,6.03,-,-,-,-,-,-,1,-,5.0,100.0,1,-,-
5,"556Slobodan RajkovicPalermo FC, 33, D(C)","Slobodan Rajkovic Palermo FC, 33, D(C)",4,299,1.3,1.8,1.3,1,2.8,0.3,0.8,-,6.03,-,-,0.5,-,1.3,-,-,0.3,50.3,84.6,-,1.3,-
6,"557Giuseppe RossiFiorentina, 35, FW","Giuseppe Rossi Fiorentina, 35, FW",0(1),10,-,-,-,-,-,-,-,-,6.02,-,-,-,-,1,-,1,-,4.0,100.0,-,1,-
7,"558Ouasim BouyPalermo FC, 29, D(C),DMC","Ouasim Bouy Palermo FC, 29, D(C),DMC",0(2),36,0.5,0.5,1.5,-,0.5,0.5,-,-,6.02,-,-,0.5,0.5,0.5,-,-,1,10.5,76.2,-,1,-
8,"559Aleksandar PesicAtalanta, 30, FW","Aleksandar Pesic Atalanta, 30, FW",0(6),83,0.2,0.2,0.7,-,-,0.3,-,-,6.02,-,-,0.7,-,0.2,0.2,0.3,0.7,4.5,66.7,-,-,-
9,"560Davide VitturiniPescara, 25, Defender","Davide Vitturini Pescara, 25, Defender",2(1),145,0.3,0.3,1.3,-,2,0.7,0.3,-,6.01,-,-,-,0.3,0.3,-,0.3,0.7,16.3,79.6,-,0.3,0.3
0,"541Gennaro SardoChievo, 43, D(R),M(R)","Gennaro Sardo Chievo, 43, D(R),M(R)",0(1),6,-,-,-,-,2,-,-,-,6.08,-,-,-,-,-,-,-,-,1.0,-,-,-,-
1,"542Simone Lo FasoPalermo FC, 24, Forward","Simone Lo Faso Palermo FC, 24, Forward",1(9),246,0.1,-,0.2,-,-,0.2,-,-,6.08,-,-,0.7,0.6,0.5,-,0.6,1.3,9.8,82.7,0.1,0.2,-
2,"543Lamin JallowChievo, 26, Forward","Lamin Jallow Chievo, 26, Forward",0(2),14,-,-,0.5,-,0.5,0.5,-,-,6.07,-,-,0.5,-,-,-,0.5,0.5,2.5,80,-,0.5,-
3,"544Mamadou TounkaraLazio, 26, Forward","Mamadou Tounkara Lazio, 26, Forward",0(1),4,-,-,-,-,-,-,-,-,6.07,-,-,-,-,-,-,-,-,2.0,-,-,-,-
4,"545Rolando MandragoraJuventus, 24, DMC","Rolando Mandragora Juventus, 24, DMC",0(1),4,-,-,-,-,-,-,-,-,6.07,-,-,1,-,1,-,-,-,5.0,100,-,1,-
5,"546Alessandro RossiLazio, 25, Forward","Alessandro Rossi Lazio, 25, Forward",0(3),43,0.7,-,0.3,-,-,-,-,-,6.07,-,-,0.3,-,0.3,0.3,0.3,0.7,4.3,61.5,-,-,-
6,"547Federico SerraCagliari, 24, Forward","Federico Serra Cagliari, 24, Forward",0(1),11,1,-,1,-,-,-,-,-,6.06,-,-,-,-,1,-,1,-,1.0,-,-,-,-
7,"548Luiz AdrianoAC Milan, 35, AM(CL),FW","Luiz Adriano AC Milan, 35, AM(CL),FW",1(6),121,-,0.3,0.7,-,0.1,0.1,-,-,6.06,-,-,0.4,0.1,0.6,0.1,0.4,1,5.3,67.6,-,0.4,-
8,"549Gianni MunariCagliari, 38, M(C)","Gianni Munari Cagliari, 38, M(C)",3(8),350,0.4,0.9,0.7,-,0.6,0.5,0.3,-,6.06,-,-,-,-,0.5,-,0.5,0.3,10.8,82.4,-,0.3,-
9,"550Andrej KotnikCrotone, 26, Midfielder","Andrej Kotnik Crotone, 26, Midfielder",0(2),30,-,-,-,-,1,-,-,-,6.06,-,-,1,-,-,-,1,0.5,4.5,77.8,-,0.5,-
0,"531Mamadou CoulibalyPescara, 23, M(C)","Mamadou Coulibaly Pescara, 23, M(C)",6(3),487,1.1,1,2.3,-,0.2,1.3,0.1,-,6.11,-,-,0.1,0.1,0.8,-,0.9,1,25.9,72.1,0.1,0.9,-
1,"532Sofian KiyineChievo, 24, AM(CL)","Sofian Kiyine Chievo, 24, AM(CL)",0(7),65,0.4,0.1,0.3,-,0.3,0.1,-,-,6.11,-,-,0.6,-,0.1,-,0.6,0.4,7.4,82.7,-,-,-
2,"533Emanuele GiaccheriniNapoli, 37, M(CLR)","Emanuele Giaccherini Napoli, 37, M(CLR)",1(15),286,-,0.2,0.2,-,0.1,0.2,-,-,6.11,1,-,0.4,0.1,0.4,0.1,0.6,0.6,15.0,82.9,0.1,0.3,-
3,"534Niccolò GiannettiCagliari, 31, Forward","Niccolò Giannetti Cagliari, 31, Forward",1(10),240,-,-,0.5,-,0.5,0.1,-,-,6.1,-,-,1.1,0.1,0.9,0.2,1.2,1,5.5,63.3,-,-,-
4,"535Grigoris KastanosPescara, 24, AM(CR)","Grigoris Kastanos Pescara, 24, AM(CR)",3(5),279,0.5,0.3,0.3,-,-,0.5,-,-,6.1,-,-,0.6,0.3,1.5,-,1.3,0.5,14.1,79.6,-,0.1,-
5,"536Emanuel VignatoChievo, 21, AM(CL)","Emanuel Vignato Chievo, 21, AM(CL)",0(2),31,-,0.5,-,-,-,-,-,-,6.1,-,-,-,-,-,-,1,-,8.0,62.5,-,-,-
6,"537Alberto PaloschiAtalanta, 32, FW","Alberto Paloschi Atalanta, 32, FW",4(9),436,0.3,-,0.8,-,0.1,0.1,-,-,6.09,-,-,0.7,0.5,0.6,0.2,0.5,1.2,8.8,67.8,-,0.2,-
7,"538Dario ZuparicPescara, 30, D(C)","Dario Zuparic Pescara, 30, D(C)",3(4),338,0.3,1,0.6,0.3,3,0.1,0.6,-,6.09,-,-,0.3,0.1,0.7,-,0.1,0.4,15.1,79.2,-,1.6,-
8,"539Cazim SuljicCrotone, 25, Midfielder","Cazim Suljic Crotone, 25, Midfielder",0(2),11,0.5,-,-,-,1,0.5,-,-,6.09,-,-,-,-,0.5,-,-,-,4.0,50.0,-,-,-
9,"540Giuseppe CuomoCrotone, 24, D(C)","Giuseppe Cuomo Crotone, 24, D(C)",0(1),3,1,-,-,-,-,-,-,-,6.09,-,-,-,-,-,-,-,-,1.0,100.0,-,-,-
0,"521Roland SallaiPalermo FC, 25, AM(CLR),FW","Roland Sallai Palermo FC, 25, AM(CLR),FW",11(10),958,0.5,0.6,1.8,-,0.4,0.5,-,-,6.14,1,-,1.4,0.5,1.4,-,0.8,1,15.2,82.5,0.1,0.3,-
1,"522EwandroUdinese, 26, AM(LR)","Ewandro Udinese, 26, AM(LR)",0(5),56,1,-,0.6,-,-,0.6,-,-,6.14,-,-,0.2,0.2,-,-,0.8,0.4,4.8,75.0,-,0.2,-
2,"523Juan IturbeRoma, 29, AM(LR)","Juan Iturbe Roma, 29, AM(LR)",0(5),38,0.2,-,0.4,-,-,-,-,-,6.14,-,-,1,-,-,-,0.2,0.2,3.2,68.8,0.2,-,-
3,"524Moritz LeitnerLazio, 29, M(CR)","Moritz Leitner Lazio, 29, M(CR)",0(2),13,0.5,0.5,-,-,-,-,-,-,6.14,-,-,-,-,-,-,0.5,-,11.5,91.3,-,-,-
4,"525Stefan SilvaPalermo FC, 32, AM(L),FW","Stefan Silva Palermo FC, 32, AM(L),FW",0(1),16,1,-,-,-,-,1,-,-,6.13,-,-,-,-,1,1,-,-,6.0,83.3,-,-,-
5,"526Omar El KaddouriNapoli, 31, AM(CL)","Omar El Kaddouri Napoli, 31, AM(CL)",0(5),39,0.4,0.2,0.4,-,-,-,-,-,6.12,-,-,0.4,0.2,0.4,-,0.6,0.4,7.0,82.9,-,0.2,-
